topic,question,ticker,datetime,odds_text,odds_value,volume,rules_summary,current_value_type
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-03-21 19:00,66.00% chance,66.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-03-21 22:00,77.92% chance,77.92,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-03-22 23:00,77.00% chance,77.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-03-24 16:00,78.00% chance,78.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-03-30 05:00,77.85% chance,77.85,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-03-30 20:00,78.00% chance,78.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-03-31 00:00,78.00% chance,78.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-02 00:00,78.00% chance,78.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-03 18:00,78.00% chance,78.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-05 22:00,78.00% chance,78.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-09 17:00,78.00% chance,78.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-15 15:00,78.51% chance,78.51,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-15 23:00,83.92% chance,83.92,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-16 03:00,85.00% chance,85.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-16 15:00,85.96% chance,85.96,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-18 17:00,78.80% chance,78.8,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-18 20:00,86.89% chance,86.89,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-18 21:00,86.53% chance,86.53,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-18 23:00,79.00% chance,79.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-19 02:00,79.00% chance,79.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-19 03:00,79.00% chance,79.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-19 18:00,86.77% chance,86.77,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-19 22:00,86.00% chance,86.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-20 01:00,86.00% chance,86.0,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
TSLA,What will TSLA say on their next earnings call?,KXEARNINGSMENTIONTSLA,2025-04-20 02:00,86.44% chance,86.44,"$144,678 vol","If Cybertruck is said by any TSLA representative during their next earnings call (including the Q+A), then the market resolves to Yes. Outcome verified from Bloomberg and The Motley Fool.",unknown
